score,phrase
0.9940649551,nvidia cuda
0.9940626270999999,netscape navigator
0.9937499061,tape recorder
0.9937292937000001,west africa
0.993670355,tuple spaces
0.9934978123,south america
0.9934292937,east asia
0.9929174198,atlantic ocean
0.9927070715,mahalanobis distance
0.9926752792,cantilever beam
0.9926000744,minimax regret
0.9925828533,mayo clinic
0.9925654947,cad cae
0.992522273,lesson plan
0.9923959604000001,arduino mega
0.9923354656000001,norbert wiener
0.9923003571,nvidia kepler
0.992282855,architectural heritage
0.9922448208,app inventor
0.992161328,middle eastern
0.9920276763,pacific ocean
0.9920147184,apache lucene
0.9919662522,radially symmetric
0.9919506694,southeast asia
0.9919377064,microsoft kinect
0.991932855,lotus notes
0.9918389156,world englishes
0.9918254476,ted talks
0.9917734804999999,west virginia
0.9917070715,theorem prover
0.9916161883,microsoft hololens
0.9916144789,bell labs
0.9914818578,crossword puzzle
0.9914680143000001,hausdorff distance
0.9914661883,projection pursuit
0.9914495217,max msp
0.9913673360999999,apple macintosh
0.9913566218000001,erd ers
0.9913254476000001,ansys workbench
0.9913087809000001,creative commons
0.9910624845999999,balanced scorecard
0.9910245217,acm siggraph
0.9909769209,oblivious ram
0.990932855,movie clips
0.9909052987,receptive field
0.9909000743999999,deficit round robin
0.9908829974,hiv aids
0.9908568137999999,erdas imagine
0.9908459604000001,european union
0.9908424987000001,pole placement
0.9908419459000001,effort expectancy
0.9908408152,regret minimization
0.9908235940000001,mediterranean sea
0.990815008,macromedia flash
0.9908124845999999,las vegas
0.9908074819,broadband isdn
0.9908009007999999,south asia
0.9907816984000001,replay attack
0.9907499061,cast iron
0.9907421142,pascal voc
0.9907348493000001,south korea
0.9906983414,sao paulo
0.9906722708,piecewise smooth
0.990670355,raster graphics
0.9906700345,mailing list
0.9906674198000001,russian federation
0.9906459604000001,tu delft
0.9906367011,globus toolkit
0.9906335265,united nations
0.9906329974,nash equilibrium
0.9906281735,subthalamic nucleus
0.9905981748999999,geodesic active contour
0.9905718862999999,ieee xplore
0.9905507532,arithmetic progressions
0.9905254476,trojan horses
0.9904832920000001,vector quantizer
0.990479405,wolfram mathematica
0.9904574818999999,sic mosfet
0.9904228394,john mccarthy
0.990370355,smart farming
0.9903149586,inductively coupled plasma
0.9903033678000001,arduino nano
0.9902855809000001,intel pentium
0.9902170238,bayer cfa
0.9902041254,gini coefficient
0.990188032,intel paragon
0.990137583,argumentative essay
0.9901151912,dow jones
0.9900649551,rekayasa perangkat lunak
0.990057515,writing skill
0.9900519026000001,proof assistants
0.9899791512999999,san francisco
0.9899698920000001,oblivious transfer
0.9899591708,stock exchange
0.9899591708,gabor wavelet transform
0.9899237654,arterial hypertension
0.9898958179,arduino uno
0.9898890292,intel sgx
0.9898819220999999,active contours
0.9898819220999999,extreme programming
0.9898367011,priority queuing
0.9898328533,virginia tech
0.989808292,event handlers
0.9897816747,volunteered geographic information
0.9897811456000001,polarimetric synthetic aperture radar
0.9897661883,markov blanket
0.9897594525,inductive inference
0.9897352078,nist sre
0.9896962078,rule induction
0.9896829974,north america
0.9896752792,hermite interpolation
0.9896175623000001,bahasa indonesia
0.9896068137999999,triadic closure
0.989586053,erasure coding
0.9895811456,naïve bayes
0.9895737381999999,windows xp
0.9895606069,disturbance rejection
0.9895448208,flash mx
0.9895420883,mutual exclusion
0.9895234804999999,macromedia director
0.9895201458,tohoku university
0.9895039206,cluster head election
0.9895032254,smart metering
0.9894597781000001,sar interferometry
0.989432855,constructive induction
0.9894252792,flash crowds
0.9894215865,esl learners
0.9894052197,gnu linux
0.9893757531999999,amazon alexa
0.9893737382,dublin core
0.9893674198000001,orthopaedic surgery
0.9893523706999999,criminal justice
0.9893419459,indirect reciprocity
0.9893263665,orthogonal matching pursuit
0.989312159,lms moodle
0.9893087809000001,variational bayes
0.9893001932,cascading style sheets
0.9892764447,ole db
0.9892661883,silicon valley
0.9892638921,beating heart
0.9892164227,southern california
0.9891966079000001,pavia university
0.9891758244,san diego
0.9891675721,alan turing
0.9891644789,isabelle hol
0.9891509008,iso iec jtc1
0.9891262064,fudan university
0.9891128565999999,cognitive ergonomics
0.9891122434999999,java pathfinder
0.9891068138,absorption spectroscopy
0.9891061261,narrative text
0.9890794459000001,multiple intelligences
0.9890663216,dki jakarta
0.9890649551,interferometric synthetic aperture radar
0.9890624845999999,google earth
0.9890517634,false rejection rate
0.9890210398,unscented kalman filter
0.9890186588,south africa
0.989018382,christopher alexander
0.9889842340999999,h264 avc
0.9889776145999999,msn messenger
0.9889723625,hyperledger fabric
0.9889663308,broadcast news
0.9889663308,inverse kinematics
0.9889591708,particle physics
0.9889337078,experiential learning
0.9889279947,contiki os
0.9889052987000001,matrix inversion
0.9888914101,nvidia gpus
0.9888830894,gansu province
0.9888778285,hypertext markup language
0.9888408152,past tense
0.9888258773,systemc tlm
0.9888185693000001,google docs
0.9888185693000001,peano arithmetic
0.9888149551000001,intel xeon phi
0.9888149551000001,togaf adm
0.9888149551000001,eth zurich
0.9888036883,social justice
0.9888009007999999,turing award
0.9887996641,bundle adjustment
0.9887996641,ridge regression
0.9887966914,universitas terbuka
0.9887754476,sonet sdh
0.9887678718,bar charts
0.9887661883,eventual consistency
0.9887507531999999,enterprise javabeans
0.9887292937000001,penn treebank
0.9887203291,notch filter
0.9886999195,certificate authorities
0.988682855,embodied cognition
0.9886674198000001,rhode island
0.9886638969,multilayer perceptrons
0.9886638586,indian ocean
0.9886631033,rtp rtcp
0.9886552197,electronic warfare
0.9886335265,laplacian eigenmaps
0.988632855,evidential reasoning
0.9886144789,geometrical optics
0.9886132281000001,north atlantic
0.9886036883,dialog box
0.9885852359,rational rose
0.9885819221,digital humanities
0.9885661883,molecular genetics
